id,log_mmr,housing,tpi,slope,vrm,daynight
10F,1.373790366,-0.418512083,-0.927672304,1.836734315,-0.468410261,0
10F,1.499647895,-0.418512083,-0.357534707,1.349170319,-0.730646136,0
10F,1.496914063,-0.418512083,-0.357534707,-1.265153855,-0.482351877,0
10F,1.497779703,-0.418512083,-0.547580572,-0.387676941,-0.532634848,0
10F,1.49814071,-0.418512083,0.592694622,-1.362216718,-0.004546363,0
10F,1.497562223,-0.418512083,-0.167488841,-1.208178945,-0.422870857,0
10F,1.500247029,-0.418512083,0.592694622,-1.076347654,0.056830161,0
10F,1.49643421,-0.418512083,0.022557025,-1.232221438,-0.736381605,0
10F,1.496303311,-0.418512083,-0.547580572,-1.425788041,-0.659061692,0
10F,1.496293361,-0.418512083,0.212602891,-1.579987429,-0.450990651,0
10F,1.495272814,-0.418512083,-0.737626438,-1.334988793,-0.783108777,0
10F,1.498027131,-0.418512083,-0.547580572,-1.367622804,-0.668864201,0
10F,1.494675441,-0.418512083,-0.547580572,-1.589184938,-0.754153523,0
10F,1.496279424,-0.418512083,-0.737626438,-0.213918066,-0.768969437,0
10F,1.376977946,-0.418512083,-0.547580572,0.764590781,-0.527696772,0
10F,1.386816266,-0.418512083,0.782740488,0.250711727,0.335856911,0
10F,1.513526585,-0.418512083,1.732969817,0.320739893,1.750047649,0
10F,1.519451947,-0.418512083,1.732969817,1.463830857,2.104130628,0
10F,1.508317165,-0.418512083,0.782740488,0.773369449,0.678772474,0
10F,1.496231903,-0.418512083,-0.547580572,0.010443498,-0.677451106,0
10F,1.500222132,-0.418512083,0.212602891,-0.302381977,-0.287843489,0
10F,1.380312923,-0.418512083,0.212602891,-0.729553164,0.048993803,0
10F,1.382015719,-0.418512083,0.022557025,-0.437008561,-0.124960948,0
10F,1.38332361,-0.418512083,0.022557025,0.263078765,-0.16732651,0
10F,1.501501743,-0.418512083,0.022557025,0.088049984,-0.383212409,0
10F,1.493761109,-0.418512083,-0.927672304,0.12239873,-0.776430521,0
10F,1.500699865,-0.418512083,-0.167488841,0.686176996,-0.622236459,0
10F,1.377619044,-0.418512083,-0.547580572,0.499708718,-0.440944012,0
10F,1.499256803,-0.418512083,-0.167488841,0.524247304,-0.667950638,0
10F,1.496727714,-0.418512083,-0.927672304,1.698433252,-0.609017144,0
10F,1.496338668,-0.418512083,-0.737626438,1.576445478,-0.636777301,0
10F,1.496162386,-0.418512083,0.402648757,0.564442634,0.097606863,1
10F,1.49572124,-0.418512083,0.592694622,-0.638800009,0.700846656,1
10F,1.495144298,-0.418512083,0.592694622,0.09002117,0.418111684,1
10F,1.498590511,-0.418512083,0.592694622,0.682941076,0.001435947,1
10F,1.492194907,-0.418512083,-0.167488841,0.674118449,-0.307927687,1
10F,1.497101053,-0.418512083,0.972786354,0.256044764,0.34253441,1
10F,1.502436289,-0.418512083,1.352878086,0.347813895,1.373596044,1
10F,1.501868496,-0.418512083,1.352878086,0.12924319,0.856422522,1
10F,1.497219072,-0.418512083,0.402648757,1.521044375,-0.370133507,1
10F,1.496269006,-0.418512083,0.402648757,1.328129598,-0.249128395,1
10F,1.3766375,-0.418512083,0.592694622,-0.292846046,0.6068521,1
10F,1.374827082,-0.418512083,0.592694622,-0.173415926,0.586825404,1
10F,1.374608965,-0.418512083,0.022557025,0.483424132,0.075480854,1
10F,1.494508337,-0.418512083,0.022557025,0.695442836,-0.465597727,1
